行ラベル,合計 / 予測値2
(空白),
0-120,1
120-240,0
240-360,0
360-480,1
480-600,7
600-720,18
720-840,31
840-960,20
960-1080,12
1080-1200,35
1200-1320,103
1320-1440,31
1440-1560,65
1560-1680,26
1680-1800,24
1800-1920,19
1920-2040,20
2040-2160,4
2160-2280,14
2280-2400,8
2400-2520,33
2520-2640,35
2640-2760,16
2760-2880,4
2880-3000,12
3000-3120,29
3120-3240,54
3240-3360,33
3360-3480,18
3480-3600,29
3600-3720,22
3720-3840,18
3840-3960,45
3960-4080,19
4080-4200,15
4200-4320,7
4320-4440,40
4440-4560,27
4560-4680,8
4680-4800,10
4800-4920,24
4920-5040,16
5040-5160,4
5160-5280,77
5280-5400,17
5400-5520,31
5520-5640,9
5640-5760,38
5760-5880,2
5880-6000,19
6000-6120,5
6120-6240,3
6240-6360,6
6360-6480,4
6480-6600,35
6600-6720,1
6720-6840,31
6840-6960,27
6960-7080,32
7080-7200,14
7200-7320,18
7320-7440,5
7440-7560,23
7560-7680,40
7680-7800,7
7800-7920,1
7920-8040,5
8040-8160,5
8160-8280,7
8280-8400,14
8400-8520,38
8520-8640,40
8640-8760,22
8760-8880,1
8880-9000,11
9000-9120,13
9120-9240,4
9240-9360,13
9360-9480,11
9480-9600,17
9600-9720,31
9720-9840,3
9840-9960,2
9960-10080,22
10080-10200,14
10200-10320,3
10320-10440,0
10440-10560,0
10560-10680,0
10680-10800,4
10800-10920,13
10920-11040,7
11040-11160,2
11160-11280,11
11280-11400,26
11400-11520,13
11520-11640,21
11640-11760,6
11760-11880,4
11880-12000,38
12000-12120,31
12120-12240,29
12240-12360,20
12360-12480,8
12480-12600,1
12600-12720,1
12720-12840,22
12840-12960,17
12960-13080,23
13080-13200,47
13200-13320,1
13320-13440,20
13440-13560,32
13560-13680,4
13680-13800,5
13800-13920,7
13920-14040,4
14040-14160,13
14160-14280,33
14280-14400,19
14400-14520,5
14520-14640,3
14640-14760,4
14760-14880,23
14880-15000,8
15000-15120,6
15120-15240,9
15240-15360,21
15360-15480,27
15480-15600,12
15600-15720,17
15720-15840,18
15840-15960,0
15960-16080,4
16080-16200,1
16200-16320,2
16320-16440,3
16440-16560,5
16560-16680,2
16680-16800,20
16800-16920,16
16920-17040,8
17040-17160,2
17160-17280,5
17280-17400,18
17400-17520,28
17520-17640,2
17640-17760,11
17760-17880,5
17880-18000,5
18000-18120,11
18120-18240,14
18240-18360,4
18360-18480,1
18480-18600,2
18600-18720,21
18720-18840,23
18840-18960,3
18960-19080,12
19080-19200,3
19200-19320,20
19320-19440,1
19440-19560,24
19560-19680,15
19680-19800,5
19800-19920,9
19920-20040,6
20040-20160,9
20160-20280,41
20280-20400,4
20400-20520,4
20520-20640,4
20640-20760,11
20760-20880,20
20880-21000,2
21000-21120,6
21120-21240,19
21240-21360,17
21360-21480,16
21480-21600,13
21600-21720,6
21720-21840,0
21840-21960,14
21960-22080,51
22080-22200,4
22200-22320,0
総計,2865
